title,question,message,sample_size,files,id,mode
Yield universe: APY comparisons need category and capacity context,What is the observed stablecoin yield universe?,"The sample covers multiple pool types and chains, so APY should not be compared without stratification.","pools=250, pool-days=137095",outputs/figures/fig_01_yield_universe.png,fig_01_yield_universe,full
"Headline APY is heavy-tailed, so medians matter",How are APY observations distributed?,A small number of extreme APY observations pulls the mean above the median.,pool-days=137095,outputs/figures/fig_02_apy_distribution.png,fig_02_apy_distribution,full
Most high-yield episodes fade quickly in the observed sample,How long do APY >= 10 percent episodes last?,"Kaplan-Meier survival declines steeply at short durations, with censored active episodes retained.",episodes=2668,outputs/figures/fig_03_episode_survival.png,fig_03_episode_survival,full
Top-yield membership changes as the horizon widens,How stable are top-yield rankings?,Heatmap cells show separate top-k means; pooled text summaries weight each valid observed-date/top-k comparison equally.,date comparisons=7938,outputs/figures/fig_04_ranking_churn.png,fig_04_ranking_churn,full
Joint screen shows the trade-off behind headline APY,"Which pools combine APY, persistence and TVL?","Only a subset sits above median APY, persistence and TVL simultaneously; this is a joint threshold screen, not a recommendation.",pools=250,outputs/figures/fig_05_yield_persistence_frontier.png,fig_05_yield_persistence_frontier,full
Base and reward APY describe different yield mechanisms,How much of APY comes from base versus reward components?,Reward coverage is partial and reward-heavy pools should be interpreted separately.,pool-days=137095,outputs/figures/fig_06_base_vs_reward.png,fig_06_base_vs_reward,full
"After APY jumps, yield and TVL move on different clocks",Are APY jumps followed by TVL changes and compression?,Event-time patterns are observational and use TVL change only as a proxy.,event-time rows=38,outputs/figures/fig_07_apy_tvl_relationship.png,fig_07_apy_tvl_relationship,full
Peg stress changes the denominator behind nominal yield,How do APY and price behave around stablecoin peg stress?,A depeg window makes nominal APY harder to interpret without price context.,event-window rows=61,outputs/figures/fig_08_depeg_event_study.png,fig_08_depeg_event_study,full
"Pool archetypes separate yield level, persistence and capacity",Do pools cluster into interpretable profiles?,Exploratory clusters summarize patterns but are not labels of safety or quality.,pools=250,outputs/figures/fig_09_pool_archetypes.png,fig_09_pool_archetypes,full
High yield is common; persistent high yield with capacity is rarer,"Which pools combine APY, persistence and TVL?","Only a subset sits above median APY, persistence and TVL simultaneously; this is a joint threshold screen, not a recommendation.",pools=250,outputs/figures/fig_10_hero_yield_frontier.png,fig_10_hero_yield_frontier,full
